category,product_folder,sku,UKCA,Listings,tags,Facebook URL,TikTok URL,Ebay URL,Etsy URL
Gaming & Tech,GT-TCH-00004 - Pi Rack - Single,GT-TCH-00004,No,,,,,,
Gaming & Tech,GT-TCH-00005 - Ubiquiti,GT-TCH-00005,No,,,,,,
Gaming & Tech,GT-TCH-00006 - Ubiquiti Cloud Key,GT-TCH-00006,No,,,,,,
Gaming & Tech,GT-TCH-00007 - Unifi,GT-TCH-00007,No,,,,,,
Gaming & Tech,GT-TCH-00008 - 18650 Battery Holder,GT-TCH-00008,No,,,,,,
Gaming & Tech,GT-TCH-00009 - D Battery Holder,GT-TCH-00009,No,,,,,,
Gaming & Tech,GT-TCH-00010 - AA Double Battery Holder,GT-TCH-00010,No,,,,,,
Gaming & Tech,GT-TCH-00011 - AirTag Wallet Holder,GT-TCH-00011,No,,,,,,
Gaming & Tech,GT-TCH-00012 - Unifi UXG,GT-TCH-00012,No,,,,,,
Gaming & Tech,GT-TCH-00013 - Rack - Pi - 10inch,GT-TCH-00013,No,,,,,,
Gaming & Tech,GT-TCH-00014 - Base Cap - Air Tag,GT-TCH-00014,No,,,,,,
Gaming & Tech,GT-TCH-00015 - Switch Stand,GT-TCH-00015,No,,,,,,
Gaming & Tech,GT-TCH-00016 - Nintendo Switch Games Case,GT-TCH-00016,No,,,,,,
Gaming & Tech,GT-TCH-00017 - Rift CV1 Wall Mount,GT-TCH-00017,No,,,,,,
Gaming & Tech,GT-TCH-00018 - Rift CV1 Camera Mounts,GT-TCH-00018,No,,,,,,
Gaming & Tech,GT-TCH-00019 - Lens Caps,GT-TCH-00019,No,,,,,,
Gaming & Tech,GT-TCH-00020 - Nikon Battery Clips,GT-TCH-00020,No,,,,,,
Gaming & Tech,GT-TCH-00021 - CFExpress Holder,GT-TCH-00021,No,,,,,,
Gaming & Tech,GT-TCH-00022 - SD Card Holder,GT-TCH-00022,No,,,,,,
Health & Medical,GT-HLT-00001 - Vial and Syringe Holder,GT-HLT-00001,No,,,,,,
Health & Medical,GT-HLT-00002 - Fridge Insulin Pen Holder,GT-HLT-00002,No,,,,,,
Health & Medical,GT-HLT-00003 - Insulin Pen Storage Case,GT-HLT-00003,No,,,,,,
Health & Medical,GT-HLT-00004 - Insulin Vial Storage Case,GT-HLT-00004,No,,,,,,
Health & Medical,GT-HLT-00005 - Fridge Insulin Pump Pen Cart Holder,GT-HLT-00005,No,,,,,,
Health & Medical,GT-HLT-00006 - Insulin Pump+Pen Cart Storage Case,GT-HLT-00006,No,,,,,,
Health & Medical,GT-HLT-00007 - Dexcom G7 Organisers,GT-HLT-00007,No,,,,,,
Health & Medical,GT-HLT-00008 - Dexcom G6 & Omnipod,GT-HLT-00008,No,,,,,,
Health & Medical,GT-HLT-00009 - Libre 2 Plus,GT-HLT-00009,No,,,,,,
Health & Medical,GT-HLT-00010 - Dextro Holder,GT-HLT-00010,No,,,,,,
Health & Medical,GT-HLT-00011 - Mounjaro Box,GT-HLT-00011,No,,,,,,
Health & Medical,GT-HLT-00012 - Tslim and Dexcom G7,GT-HLT-00012,No,,,,,,
Health & Medical,GT-HLT-00013 - Vertical Omnipod and Dexcom Storage,GT-HLT-00013,No,,,,,,
Health & Medical,GT-HLT-00014 - Vertical Omnipod and Libre 2 Storage,GT-HLT-00014,No,,,,,,
Health & Medical,GT-HLT-00015 - Omnipod Applicator Helper,GT-HLT-00015,No,,,,,,
Home & Living,GT-HOM-00001 - Bottle Rocket,GT-HOM-00001,No,,,,,,
Home & Living,GT-HOM-00002 - OneBlade Wall Mount,GT-HOM-00002,No,,,,,,
Home & Living,GT-HOM-00003 - OralB Toothbrush Holder,GT-HOM-00003,No,,,,,,
Home & Living,GT-HOM-00004 - Tin Can Stacker,GT-HOM-00004,No,,,,,,
Home & Living,GT-HOM-00005 - Wheelie Bin Clips,GT-HOM-00005,No,,,,,,
Home & Living,GT-HOM-00006 - Bread Clips,GT-HOM-00006,No,,,,,,
Jewelry & Accessories,GT-JWL-00001 - Among Us Keychain,GT-JWL-00001,No,,,,,,
Jewelry & Accessories,GT-JWL-00002 - PacMan Keychain,GT-JWL-00002,No,,,,,,
Jewelry & Accessories,GT-JWL-00003 - T1 Keyring,GT-JWL-00003,No,,,,,,
Jewelry & Accessories,GT-JWL-00004 - Shoe Keychains,GT-JWL-00004,No,,,,,,
Jewelry & Accessories,GT-JWL-00005 - Ram Keychain,GT-JWL-00005,No,,,,,,
Jewelry & Accessories,GT-JWL-00006 - Spotify Keyring,GT-JWL-00006,No,,,,,,
Jewelry & Accessories,GT-JWL-00007 - 8 Bit Heart Pendant Charm Set - 45327,GT-JWL-00007,No,,,,,,
Jewelry & Accessories,GT-JWL-00008 - Lego Heart Keyring,GT-JWL-00008,No,,,,,,
Jewelry & Accessories,GT-JWL-00009 - Dog Coasters,GT-JWL-00009,No,,,,,,
Office & Storage,GT-OFF-00001 - Desktop Mount Headphone Holder Clamp,GT-OFF-00001,No,,,,,,
Office & Storage,GT-OFF-00002 - Fridge Tube Organiser,GT-OFF-00002,No,,,,,,
Office & Storage,GT-OFF-00003 - Tile Wallet Holder,GT-OFF-00003,No,,,,,,
Temp,30 Days of,,No,,,,,,
Temp,GeekyThings_Stall,,No,,,,,,
Temp,Misc,,No,,,,,,
Temp,_Bottle Holders,,No,,,,,,
Tools & Workshop,GT-TLW-00001 - Makita Tool Holder,GT-TLW-00001,No,,,,,,
Tools & Workshop,GT-TLW-00002 - Screwdriver Holder,GT-TLW-00002,No,,,,,,
Toys & Games,GT-TOY-00001 - Card Box,GT-TOY-00001,No,,,,,,
Toys & Games,GT-TOY-00002 - Card Holder,GT-TOY-00002,No,,,,,,
Toys & Games,GT-TOY-00003 - Pokemon,GT-TOY-00003,No,,,,,,
Toys & Games,GT-TOY-00004 - Lego Train Ramp and Bridge,GT-TOY-00004,No,,,,,,
Toys & Games,GT-TOY-00005 - Flexi Rex,GT-TOY-00005,No,,,,,,
Toys & Games,GT-TOY-00006 - Elephant,GT-TOY-00006,No,,,,,,
Toys & Games,GT-TOY-00007 - Articulated Ice Dragon,GT-TOY-00007,No,,,,,,
Toys & Games,GT-TOY-00008 - Articulated Axolotl,GT-TOY-00008,No,,,,,,
Toys & Games,GT-TOY-00009 - Flexi Rex with Heart,GT-TOY-00009,No,,,,,,
Toys & Games,GT-TOY-00010 - Flexi Rexi,GT-TOY-00010,No,,,,,,
Toys & Games,GT-TOY-00011 - Articulated Butterfly,GT-TOY-00011,No,,,,,,
Toys & Games,GT-TOY-00012 - Articulated Crocodile,GT-TOY-00012,No,,,,,,
Toys & Games,GT-TOY-00013 - Articulated Hermit Crab,GT-TOY-00013,No,,,,,,
Toys & Games,GT-TOY-00014 - Articulated Snake,GT-TOY-00014,No,,,,,,
Toys & Games,GT-TOY-00015 - Mclaren F1 Lego Mount,GT-TOY-00015,No,,,,,,
Toys & Games,GT-TOY-00016 - Skull Bowl,GT-TOY-00016,No,,,,,,
Toys & Games,GT-TOY-00017 - Dragon Eggs,GT-TOY-00017,No,,,,,,
Toys & Games,GT-TOY-00018 - Fidget Star,GT-TOY-00018,No,,,,,,
Toys & Games,GT-TOY-00019 - Fidget scorpion,GT-TOY-00019,No,,,,,,
Toys & Games,GT-TOY-00020 - Articulated Octopus,GT-TOY-00020,No,,,,,,
Toys & Games,GT-TOY-00021 - Squid Gamer Gonggi Game,GT-TOY-00021,No,,,,,,
Toys & Games,GT-TOY-00022 - Tung Tung Tung Sahur,GT-TOY-00022,No,,,,,,
Toys & Games,GT-TOY-00023 - Chimpanzini Bananini,GT-TOY-00023,No,,,,,,
Toys & Games,GT-TOY-00024 - Cappuccino Assassino,GT-TOY-00024,No,,,,,,
Toys & Games,GT-TOY-00025 - Tralalero Tralala,GT-TOY-00025,No,,,,,,
Toys & Games,GT-TOY-00026 - Ballerina Capuchina,GT-TOY-00026,No,,,,,,
Toys & Games,GT-TOY-00027 - Bomb Croc,GT-TOY-00027,No,,,,,,
Toys & Games,GT-TOY-00028 - Labubu,GT-TOY-00028,No,,,,,,
Toys & Games,GT-TOY-00029 - Boneca Ambalabu,GT-TOY-00029,No,,,,,,
Toys & Games,GT-TOY-00030 - Lego Flower with Pot - 6840655,GT-TOY-00030,No,,,,,,
Toys & Games,GT-TOY-00031 - Valentines Day Rose Bear,GT-TOY-00031,No,,,,,,
Toys & Games,GT-TOY-00032 - Valentines Gift Card Box,GT-TOY-00032,No,,,,,,
Toys & Games,GT-TOY-00033 - Birthday Gift Card Box - WIP,GT-TOY-00033,No,,,,,,
Toys & Games,GT-TOY-00034 - Lego Train Bridge V2,GT-TOY-00034,No,,,,,,
Toys & Games,GT-TOY-00035 - Macaron Clicker,GT-TOY-00035,No,,,,,,
Toys & Games,GT-TOY-00036 - Fossilised Dino fidgets,GT-TOY-00036,No,,,,,,
Toys & Games,GT-TOY-00037 - Dragon Forth Wing,GT-TOY-00037,No,,,,,,
Uncategorized,GT-UNC-00001 - Lack Enclosure,GT-UNC-00001,No,,,,,,
Uncategorized,GT-UNC-00002 - Mini Skateboard Mold,GT-UNC-00002,No,,,,,,
Uncategorized,GT-UNC-00003 - Mini's,GT-UNC-00003,No,,,,,,
Uncategorized,GT-UNC-00004 - Minis,GT-UNC-00004,No,,,,,,
Uncategorized,GT-UNC-00005 - GEOMETRIC HEART KEY RING - 2782690,GT-UNC-00005,No,,,,,,
